label,sms
spam,"Happy Wednesday! Hali na at 
magsaya kasama ang buong 
pamilya dito sa asprolesa.com/
LivePH Limpak limpak na
 papremyo ang naghihintay sayo
dito! 
Arat na!"
spam,"Hi JERARD B.,  Experience the 
highest-winning JILI SLOTS
game now on Google APP! 
Redeem FREE PHP33 and win 
your Jackpot. Download now at
w98club.com/PusoySabong or 
search Winner Club at Play Store.

Redeem code : <8833>
(Please go to Deposit/BUY, then 
enter Redeem code)"
spam,"Stress kana ba agad dahil sa 
ulan? Ako bahala sayo Lodi! Eto 
ang para sayo! arianno.com/LiveAPP Masaya at nakaka'enjoy dito! Sigurado tanggal ang stress mo!"
spam,"JERARD B.! Experience, JOIN 
AND WIN! W+ Giving you 
7777BONUS! Just play and earn 
money! Sign up now! 

PLAY HERE:wplusdito . com"
ham,"DTI n pp AK s josh 10 
pamdesal po San po kayo banda"
spam,"Contract me here for business :
flynnmrpatrick192@gmail.com"
ham,"Good afternoon, ma'am. 
'Yong nag-order po 'to sa 
Shopee. Andiyan na raw po 
si sir Grab. 'Di raw po kayo 
ma-contact."
ham,"Dito napo ako maam
Maam"
ham,"tor nakapag pa gupit kana?
online ka chat tayo"
ham,Boy kumusta kayo dyan
spam,"Please contact me via 
( flanabrett2931@gmail.com 
) It's urgent , thank you ."
spam,"Congratulations you've been 
selected for the 
$200,000USD facebook 
users COVID TRUST FUND. 
Contact the affiliate 
( salgadorebecaopt@gmail.c
om ) for more details."
ham,"Hoy bardot
Mag online ka"
ham,"Bunso gisingin mo c kuya bago 
ka umalis"
ham,"Ikaw ay nag request na itali/
i-update ang numero ng 
mobile para sa iyong Garena 
account. OTP: 103607. 
Pakiusap, huwag ibibigay 
ang OTP sa iba para sa 
proteksyon ng iyong account."
spam,"SOLAR STREET LIGHTS ARE 
NOW ON SALE !!!

CLICK IF INTERESTED FOR 
PRICE/BUY --->  https://invol.co/clame5b

Shop Now: (NEW ITEM 66% 
OFF SALE)
BUY 2 TAKE 2 TODAY 
ONLY!!!

PAKI-CLICK ANG LINK SA 
TAAS PARA MAKITA ANG 
PRESYO AT PICTURES.

LED Super Bright
Iwas Magnanakaw Sa Gabi
6-8 Hours usage if Full 
Charge

BUY 2 TAKE 2 TODAY ONLY 
LANG PO.
PINAKA MURANG PRESYO 
SA MARKET!"
spam,"SOLAR 3 WAY LIGHTS
SOBRA GANDA AT FORMAL 
ILAGAY SA WALL

CLICK HERE FOR PICTURE 
AND PRICE --->  https://s.lazada.com.ph/s
.fz8pd

BUY 1 TAKE 1 TODAY ONLY!!"
ham,"Dear user, your verification 
code is 261102"
ham,"Hi, JERARD. Upgrade your 
digital banking experience 
and reach your life goals 
with the all-new CIMB Bank 
PH app! Enjoy all the 
benefits of your accounts on 
the new app. Download the 
all-new CIMB Bank PH app 
and deposit to your account 
now! Please be advised that 
the previous CIMB Bank PH 
app and REVI Credit by 
CIMB Bank PH app are no 
longer accessible as of May 
22, 2022. Visit our website 
to know more about our new 
app. Thank you!"
spam,"WELCOME BONUS: 202 GET 
202, 1002 GET 1002, 5000 
GET 5000. *24/7 Immediate 
Cash In/Out More 
https://reurl.cc/g2d6QL"
ham,J&t express delivery rider po
ham,"J&T DELIVERY!TN: 
785054908848 Rider:Ocw 
King Solomon639368652736. For 
COD pls prepare exact 
amount. Photo proof of 
delivery is required. Thanks 
and be safe!"
ham,load mo dmting na?
spam,"Never worry and settle your 
bills with GCash! Send 
Money, Transfer Funds, Pay 
Bills and more without 
leaving home. Go to your 
GCash dashboard and tap 
Bills to start!"
ham,dito na po ako chooks to go sir
spam,"DEAR VIP JERARD B.! 
At home, you can win a lot! the 
SBET! 

It's finally time for 
cockfighting and slot 
machines! Join today to 
receive up to 88k in prizes 
and a FREE BET 100 
CREDIT. Sign up now!
sbetsabong.com/SABONGNOW"
spam,"11.11 is HERE! Get 20% off 
on load, selected promos 
and redeemable items! Only 
TODAY on smrt.ph/
GigaLifeApp 

Learn more: 
http://smrt.ph/gigapoints 
DTI155117"
spam,"JERARD B.! Ang W+ ay 
kasalukuyang may malaking 
Kita! May 7777 Sign-up 
Bonus ka, mas maraming 
pagkakataong manalo ng 
iPhone14 at pera. 
wplusnew.com/8888WIN"
spam,"Congratulations you have 
won the total sum of 
$1,500,000.00 from our 
Online Raffle draw held on 
4th November 2022. Kindly 
Contact this email for your 
price. Email: 
claims@nationaly-lottery
.com"
ham,"sir good evening po, saan po 
ba kayo banda? dito po tayo 
sa helera ng ugbo st"
spam,"2/2 Get EXCLUSIVE promos 
every week JUST FOR YOU 
with just a tap on the 
GigaLife App! Click ""Don't 
Miss Out"" NOW on smrt.ph/
dmo for MORE SURPRISES!"
spam,"DEAR VIP JERARD B., Your presence is expected at a Gaming Online! Play Online Sabong And Slot Machine now and win up to 88k Cash plus 100 FREE CREDIT at SBET! Register here sbetcorkfight.com/SABONGNOW"
spam,"JERARD B.! Experience, JOIN AND WIN! W+ Giving you 7777BONUS! Just play and earn money! Sign up now! 

PLAY HERE:wplusdito . Com"
spam,"DEÃ„R VIP, $ign up @ SBET
 to receive a Ca$h BÃ˜NUS of 88k PHP 
and 100 FREE BETs. Find it 
here! sbet14. com"
spam,"Enjoy 20% OFF + free shipping 
on Amazon.com with your Maya card! 
Min. spend of $50.

Use code 'MAYACARD' upon checkout. 
Valid for virtual or physical card. 
Promo runs until Dec. 9, 2022.
DTI FTEB-154812 S2022"
spam,"Magandang Araw Jerard, Shopee Delivery!
Ihahatid namin ang parcel sa inyong 
delivery address. Bilang bahagi ng 
aming proseso ng pagdeliver at 
napapailalaim sa iyong pahintulot, kami 
ay mangongolekta ng litrato bilang 
katibayan ng paghatid 
(Proof of Delivery). Pakihanda ang inyong 
bayad na 217 PHP para sa COD orders, 
o authorization letter/ID 
para sa non-COD orders.
Pag may katanungan, pakitawagan ang 
numerong 02-8805200. Maraming Salamat!"
spam,"Hi there! You still have a few days left to 
grab your FREE 150MB for surfing 
valid for 2 days! Just load at least 
P10 one time by 11/25/2022. 
#BestTimeWithGlobe If you've already 
claimed your freebie, please disregard 
this message. REF#: FGRT1"
ham,"HUWAG MANIWALA SA TEXT NA MAY
 PANGALAN NINYO AT ALOK NA 
TRABAHO, PABUYA O PERA. ITO AY 
ISANG SCAM. I-REPORT SA 
HTTPS://NTC.GOV.PH 
o TUMAWAG SA NTC HOTLINE 1682"
ham,"Your FREE DATA data awaits! Get 
Smart's EXTRA LOAD starting at P75!

Get it on smrt.ph/GigaLifeApp or 
from your favorite retailer partners!"
ham,"Maya pre nasira charger ko
sa laptop ako nagchcharge"
ham,"Tis' the season to #MeatUpAtShakeys 
and enjoy the perfect holiday pizza!

Our NEW Tender Roast Beef Pizza! 
Succulent roast beef, tender and done 
just right, now on a pizza! Made even 
more delicious with our Rosemary 
& Mushroom sauce! Price starts at P385.

Order now via Shakey's Super Delivery!"
spam,"EDNA B. W+ is gearing up 
for a Halloween sale... Sign up now and 
get 8888 bonus! here in win74u . com"
ham,Kakasakay ko lang po bus
spam,"EDNA B.! Subukan sa w72u. com 
Ang Iyong Swerte at Makatanggap 
ng 8888 Bonus!"
ham,ok po ty! same time po?
ham,"You successfully book 
an appointment on 
June 25 2022 AM, Saturday"
ham,pakatokin mo lang
ham,"sir? 
claiza sir"
spam,"Hari ng Kita ng bitcoin! Upsurge 
500% sa kalahating taon, 
i-download at kumita ng 
peraGoogle play or APP store search 
for mybitglobal to download apps"
spam,"GO W|N Jackp0t, Totoong pera sa CAS1'NO  
makakakuha ka ng 108% sa unang 
rech'arge mo, web 
: http://djgo9.com   Go ahead!s"
spam,"T0p Philippines B.e.t-ting Site with 
24/7 immediate Cash In/Out. 
http://pbgaming.xyz/IvI 
Sign-up and P3,000 GET P3,000"
spam,Hindi m pa ba nkukuha ang inyong reward dto po http://onlinegaming.beauty/rQP  
spam,"Attn Po/Ma 'am,S.W.S COVID 19 
Grant Allowance for SENIOR CITIZENS 
65YRS &ABOVE Retirees & Workers .
Send /Email your details to 
ADMIN casanthffhfj@gmail.com"
spam, IT IS GOOD THAT I FOUND YOUR MOBILE NUMBER.THIS IS MADAM WEBER.CONTACT ME NOW ON THIS EMAIL-ID BECAUSE I WANT YOU TO HANDLE IT ( mam.victoriaweber50@gmail.com )
spam,"Important Information, Kindly reach me via Email for Details: stephencolemant@gmail.com"
spam,"Greetings, I am writing to express my 
interest on working with you, i have a 
proposal that might interest you, i would 
like an opportunity to further discuss in 
detail. kindly contact me by email : 
everamsd@hotmail.com ,
I await your urgent response."
spam,"OUR COMPANY NEEDS YOU, 
HOMEBASED BUSINESS. EARN BIG 
WHILE AT HOME. INTERESTED? 
CLICK LINK BELOW: m.me/wabcede07"
spam,Hi i can't reach you please contact me at christophweber042@outlook.com it's very important.
spam,"Ma'am/Sir. Congrat's You are the lucky 
winner of' [Php780,000] From 
(GMA KAPUSO) To. Claim Pls txt ur. 
NAME: AGE: ADD: Im' Mr, 
ROBERTO O. PAREL DTI#1206's20."
spam,NEED HOMEBASED ONLINE BUSINESS? EARN USING OUR COPY-PASTE SYSTEM EARN BIG WHILE AT HOME INTERESTED? CLICK LINK BELOW: m.me/102803058513588
spam,"We are now on SALE!!! HURRY see our product, buy more!! Less more!! Click link below: https://www.lazada.com.ph/shop/onlinetindahancom/"
spam,"Hi JERLIEN C., Experience the highest-winning JILI SLOTS game now on Google APP! Redeem FREE PHP33 and win your Jackpot. Download now at w4clubvip.com/PusoySabong or search Winner Club at Play Store. Redeem code : <8833> (Please go to Deposit/BUY, then enter Redeem code.)"
